,Date,latitude,longitude,bay_ID,place_name,V6,V5
1,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Hexagrammos stelleri,beach seine
2,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Lumpenus sagitta,beach seine
3,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Sebastes sp,beach seine
4,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Pholis laeta,beach seine
5,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Artedius spp.,beach seine
6,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Syngnathus leptorhynchus,beach seine
7,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Cymatogaster aggregata,beach seine
8,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Myoxocephalus polyacanthocephalus,beach seine
9,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Temessus cheiragonus,beach seine
10,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Oncorhynchus gorbuscha,beach seine
11,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,"Pugettia producta, Majidae",beach seine
12,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Anoplarchus insignis,beach seine
13,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,"Cancer productus, Cancridae",beach seine
14,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Cottidae,beach seine
15,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Hexagrammos lagocephalus,beach seine
16,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Leptocottus armatus,beach seine
17,6/8/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Oncorhynchus keta,beach seine
18,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Acrosiphinia arcta,hand
19,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Chordaria flagelliformis,hand
20,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Dictyosiphon foeniculaceus,hand
21,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Farlowia mollis,hand
22,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Fucus distichus,hand
23,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Odonthalia spp,hand
24,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Saccharina latissima,hand
25,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Sphacelaria rigidula,hand
26,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Ulva lactuca,hand
27,6/9/21,55.179058,-131.582105,SYLB_A,Sylburn harbor,Zostera marina,hand
28,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Oncorhynchus gorbuscha,beach seine
29,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Sebastes sp,beach seine
30,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Oncorhynchus kisutch,beach seine
31,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Hexagrammos stelleri,beach seine
32,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Pholis laeta,beach seine
33,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Artedius spp.,beach seine
34,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Sebastes caurinus,beach seine
35,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Rhinogobiops nicholsii,beach seine
36,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Temessus cheiragonus,beach seine
37,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Myoxocephalus polyacanthocephalus,beach seine
38,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Brachyistius frenatus,beach seine
39,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Sebastes maliger,beach seine
40,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Anoplarchus insignis,beach seine
41,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Blepsias cirrhosus,beach seine
42,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Enophrys bison,beach seine
43,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Gadus macrocephalus,beach seine
44,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Lumpenus sagitta,beach seine
45,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Nautichthys oculofasciatus,beach seine
46,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Ophiodon elongatus,beach seine
47,6/9/21,55.176,-131.5972,SYLB_B,Sylburn harbor,Oxylebius pictus,beach seine
48,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Ammodytes personatus,beach seine
49,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Gadus macrocephalus,beach seine
50,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Oncorhynchus gorbuscha,beach seine
51,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Zostera marina,hand
52,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Parophrys vetulus,beach seine
53,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Pholis laeta,beach seine
54,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Citharichthys sordidus,beach seine
55,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Podothecus accipenserinus,beach seine
56,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Syngnathus leptorhynchus,beach seine
57,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Oncorhynchus kisutch,beach seine
58,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Pleuronectidae,beach seine
59,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Artedius spp.,beach seine
60,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Limanda aspera,beach seine
61,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Hexagrammos stelleri,beach seine
62,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Ophiodon elongatus,beach seine
63,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Leptocottus armatus,beach seine
64,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Metacarcinus magister,beach seine
65,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Apodichthys flavidus,beach seine
66,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Blepsias cirrhosus,beach seine
67,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Lepidopsetta spp.,beach seine
68,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Lumpenus sagitta,beach seine
69,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Aulorhynchus flavidus,beach seine
70,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Cymatogaster aggregata,beach seine
71,6/10/21,54.9684,-131.2492,REEF_A,Reef harbor,Myoxocephalus polyacanthocephalus,beach seine
72,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,Zostera marina,hand
73,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,Cymatogaster aggregata,beach seine
74,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,Pholis laeta,beach seine
75,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,Lepidopsetta spp.,beach seine
76,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,Metacarcinus magister,beach seine
77,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,Artedius spp.,beach seine
78,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,Sebastes sp,beach seine
79,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,Syngnathus leptorhynchus,beach seine
80,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,Myoxocephalus polyacanthocephalus,beach seine
81,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,Gadus macrocephalus,beach seine
82,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,Apodichthys flavidus,beach seine
83,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,Hexagrammos stelleri,beach seine
84,6/11/21,55.0426,-130.9995,KAHS_A,Kah shakes,"Pugettia producta, Majidae",beach seine
