This sheet can be used to calculate total numbers per species collected over the term of the permit. ,,,
A pivot table can be inserted on this page using the following columns as guide lines,,,
,,,
Location,Species,Number,Weight (g)
Sylburn harbor,Hexagrammos stelleri,29,NA
Sylburn harbor,Lumpenus sagitta,23,NA
Sylburn harbor,Sebastes sp,22,NA
Sylburn harbor,Pholis laeta,19,NA
Sylburn harbor,Artedius spp.,11,NA
Sylburn harbor,Syngnathus leptorhynchus,7,NA
Sylburn harbor,Cymatogaster aggregata,4,NA
Sylburn harbor,Myoxocephalus polyacanthocephalus,4,NA
Sylburn harbor,Temessus cheiragonus,4,NA
Sylburn harbor,Oncorhynchus gorbuscha,2,NA
Sylburn harbor,"Pugettia producta, Majidae",2,NA
Sylburn harbor,Anoplarchus insignis,1,NA
Sylburn harbor,"Cancer productus, Cancridae",1,NA
Sylburn harbor,Cottidae,1,NA
Sylburn harbor,Hexagrammos lagocephalus,1,NA
Sylburn harbor,Leptocottus armatus,1,NA
Sylburn harbor,Oncorhynchus keta,1,NA
Sylburn harbor,Acrosiphinia arcta,NA,12.1
Sylburn harbor,Chordaria flagelliformis,NA,1.7
Sylburn harbor,Dictyosiphon foeniculaceus,NA,0.4
Sylburn harbor,Farlowia mollis,NA,62.4
Sylburn harbor,Fucus distichus,NA,3252.7
Sylburn harbor,Odonthalia spp,NA,13.1
Sylburn harbor,Saccharina latissima,NA,651.9
Sylburn harbor,Sphacelaria rigidula,NA,5.2
Sylburn harbor,Ulva lactuca,NA,128.1
Sylburn harbor,Zostera marina,75,NA
Sylburn harbor,Oncorhynchus gorbuscha,51,NA
Sylburn harbor,Sebastes sp,47,NA
Sylburn harbor,Oncorhynchus kisutch,33,NA
Sylburn harbor,Hexagrammos stelleri,13,NA
Sylburn harbor,Pholis laeta,10,NA
Sylburn harbor,Artedius spp.,6,NA
Sylburn harbor,Sebastes caurinus,5,NA
Sylburn harbor,Rhinogobiops nicholsii,4,NA
Sylburn harbor,Temessus cheiragonus,4,NA
Sylburn harbor,Myoxocephalus polyacanthocephalus,3,NA
Sylburn harbor,Brachyistius frenatus,2,NA
Sylburn harbor,Sebastes maliger,2,NA
Sylburn harbor,Anoplarchus insignis,1,NA
Sylburn harbor,Blepsias cirrhosus,1,NA
Sylburn harbor,Enophrys bison,1,NA
Sylburn harbor,Gadus macrocephalus,1,NA
Sylburn harbor,Lumpenus sagitta,1,NA
Sylburn harbor,Nautichthys oculofasciatus,1,NA
Sylburn harbor,Ophiodon elongatus,1,NA
Sylburn harbor,Oxylebius pictus,1,NA
Reef harbor,Ammodytes personatus,1162,NA
Reef harbor,Gadus macrocephalus,1003,NA
Reef harbor,Oncorhynchus gorbuscha,217,NA
Reef harbor,Zostera marina,75,NA
Reef harbor,Parophrys vetulus,47,NA
Reef harbor,Pholis laeta,42,NA
Reef harbor,Citharichthys sordidus,39,NA
Reef harbor,Podothecus accipenserinus,34,NA
Reef harbor,Syngnathus leptorhynchus,29,NA
Reef harbor,Oncorhynchus kisutch,20,NA
Reef harbor,Pleuronectidae,12,NA
Reef harbor,Artedius spp.,10,NA
Reef harbor,Limanda aspera,7,NA
Reef harbor,Hexagrammos stelleri,6,NA
Reef harbor,Ophiodon elongatus,4,NA
Reef harbor,Leptocottus armatus,3,NA
Reef harbor,Metacarcinus magister,3,NA
Reef harbor,Apodichthys flavidus,2,NA
Reef harbor,Blepsias cirrhosus,2,NA
Reef harbor,Lepidopsetta spp.,2,NA
Reef harbor,Lumpenus sagitta,2,NA
Reef harbor,Aulorhynchus flavidus,1,NA
Reef harbor,Cymatogaster aggregata,1,NA
Reef harbor,Myoxocephalus polyacanthocephalus,1,NA
Kah shakes,Zostera marina,75,NA
Kah shakes,Cymatogaster aggregata,53,NA
Kah shakes,Pholis laeta,24,NA
Kah shakes,Lepidopsetta spp.,20,NA
Kah shakes,Metacarcinus magister,17,NA
Kah shakes,Artedius spp.,16,NA
Kah shakes,Sebastes sp,12,NA
