"","date","site","latitude","longitude","collection_method","sp","weight_g","count","Life_stage"
"1",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Ammodytes personatus",NA,1,"adult/non-larval juveniles"
"2",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Apodichthys flavidus",NA,7,"adult/non-larval juveniles"
"3",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Artedius spp.",NA,65,"adult/non-larval juveniles"
"4",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Aulorhynchus flavidus",NA,11,"adult/non-larval juveniles"
"5",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Blepsias cirrhosus",NA,12,"adult/non-larval juveniles"
"6",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Cymatogaster aggregata",NA,1,"adult/non-larval juveniles"
"7",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Enophrys bison",NA,23,"adult/non-larval juveniles"
"8",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Gasterosteus aculeatus",NA,542,"adult/non-larval juveniles"
"9",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Hemilepidotus spinosus",NA,9,"adult/non-larval juveniles"
"10",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Hexagrammos stelleri",NA,55,"adult/non-larval juveniles"
"11",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Leptocottus armatus",NA,2,"adult/non-larval juveniles"
"12",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Lumpenus sagitta",NA,80,"adult/non-larval juveniles"
"13",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Myoxocephalus polyacanthocephalus",NA,1,"adult/non-larval juveniles"
"14",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Ophiodon elongatus",NA,25,"adult/non-larval juveniles"
"15",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Pholis laeta",NA,135,"adult/non-larval juveniles"
"16",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Platichthys stellatus",NA,2,"adult/non-larval juveniles"
"17",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Scorpaenichthys marmoratus",NA,2,"adult/non-larval juveniles"
"18",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Sebastes auriculatus",NA,2,"adult/non-larval juveniles"
"19",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Sebastes caurinus",NA,1,"adult/non-larval juveniles"
"20",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Sebastes maliger",NA,1,"adult/non-larval juveniles"
"21",2022-06-28,"Rosary",55.577046,-133.29498,"beach seine","Syngnathus leptorhynchus",NA,91,"adult/non-larval juveniles"
"22",2022-07-02,"Blanquizal Point",55.62082,-133.38664,"beach seine","Anoplarchus insignis",NA,1,"adult/non-larval juveniles"
"23",2022-07-02,"Blanquizal Point",55.62082,-133.38664,"beach seine","Apodichthys flavidus",NA,2,"adult/non-larval juveniles"
"24",2022-07-02,"Blanquizal Point",55.62082,-133.38664,"beach seine","Artedius spp.",NA,38,"adult/non-larval juveniles"
"25",2022-07-02,"Blanquizal Point",55.62082,-133.38664,"beach seine","Aulorhynchus flavidus",NA,32,"adult/non-larval juveniles"
"26",2022-07-02,"Blanquizal Point",55.62082,-133.38664,"beach seine","Blepsias cirrhosus",NA,9,"adult/non-larval juveniles"
"27",2022-07-02,"Blanquizal Point",55.62082,-133.38664,"beach seine","Brachyistius frenatus",NA,4,"adult/non-larval juveniles"
"28",2022-07-02,"Blanquizal Point",55.62082,-133.38664,"beach seine","Cymatogaster aggregata",NA,9,"adult/non-larval juveniles"
"29",2022-07-02,"Blanquizal Point",55.62082,-133.38664,"beach seine","Gasterosteus aculeatus",NA,21,"adult/non-larval juveniles"
